                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6036,                 3.4256,                 2.0035,                0.00926,                0.26681,                0.01276,                0.00584,                  3.012,                 3.5725,                 2.3526,                0.00032,                0.00032,                0.00032
                      2,                 1.5743,                 1.7889,                  1.252,                 0.9192,                0.15784,                0.33203,                0.21394,                 1.4361,                 2.8347,                 1.2096,             0.00065406,             0.00065406,             0.00065406
                      3,                  1.319,                 1.0981,                 1.0912,                0.96286,                0.27672,                0.64213,                0.43644,                 1.2896,                  2.338,                 1.1075,               0.000982,               0.000982,               0.000982
                      4,                 1.2367,                 0.9599,                 1.0413,                0.87806,                0.75774,                0.89513,                0.58118,                 1.2222,                 1.5603,                 1.0318,              0.0013038,              0.0013038,              0.0013038
                      5,                 1.2108,                0.89602,                 1.0267,                0.85521,                0.84739,                 0.9246,                0.63137,                 1.1561,                 1.2478,                 1.0084,              0.0016195,              0.0016195,              0.0016195
                      6,                 1.1888,                0.84664,                 1.0203,                0.84457,                0.86406,                0.90563,                 0.5979,                   1.14,                 1.0087,                0.99554,                0.00191,                0.00191,                0.00191
                      7,                 1.1749,                 0.8233,                 1.0127,                0.82909,                0.89114,                0.92101,                0.62759,                 1.1174,                0.79913,                0.98864,               0.001892,               0.001892,               0.001892
                      8,                 1.1384,                0.79164,                0.99414,                0.87071,                0.89121,                0.93987,                0.65697,                 1.0842,                0.72532,                0.97705,               0.001874,               0.001874,               0.001874
                      9,                 1.1203,                0.73761,                0.98589,                0.87231,                 0.8826,                0.93895,                0.66032,                 1.0604,                0.68699,                0.97886,               0.001856,               0.001856,               0.001856
                     10,                 1.1055,                0.71496,                0.98478,                0.85904,                0.90404,                0.95085,                0.66796,                 1.0761,                0.66378,                0.98147,               0.001838,               0.001838,               0.001838
                     11,                 1.0984,                0.70751,                0.98798,                0.89573,                0.89434,                0.95331,                0.67631,                 1.0374,                0.69155,                0.97006,                0.00182,                0.00182,                0.00182
                     12,                 1.0916,                0.69136,                0.97659,                0.86782,                0.89648,                 0.9391,                0.64629,                 1.0731,                0.67187,                 0.9777,               0.001802,               0.001802,               0.001802
                     13,                  1.086,                0.67895,                 0.9786,                0.86314,                0.90865,                0.94519,                0.65121,                 1.0898,                0.64944,                0.97292,               0.001784,               0.001784,               0.001784
                     14,                 1.0776,                0.67908,                0.97057,                0.89978,                0.91035,                0.95888,                0.68893,                 1.0265,                 0.6141,                0.96963,               0.001766,               0.001766,               0.001766
                     15,                 1.0891,                0.66343,                0.97415,                0.88713,                0.91569,                0.95484,                0.68478,                 1.0247,                0.63144,                0.96976,               0.001748,               0.001748,               0.001748
                     16,                 1.0724,                0.64755,                0.97217,                0.89844,                0.89221,                0.95425,                0.68541,                 1.0612,                 0.6133,                0.96599,                0.00173,                0.00173,                0.00173
                     17,                 1.0473,                0.62436,                 0.9626,                0.88968,                0.91355,                0.96102,                0.69043,                 1.0516,                0.59553,                0.97313,               0.001712,               0.001712,               0.001712
                     18,                 1.0425,                0.62729,                0.95745,                0.86732,                0.91035,                0.93938,                0.64884,                 1.0609,                0.63166,                0.98492,               0.001694,               0.001694,               0.001694
                     19,                 1.0435,                0.62371,                0.96135,                0.89298,                0.90822,                0.96723,                0.70261,                0.99535,                0.59699,                0.95753,               0.001676,               0.001676,               0.001676
                     20,                  1.022,                0.59898,                0.95426,                0.86995,                0.90608,                0.95074,                0.67212,                 1.0529,                0.60906,                0.98153,               0.001658,               0.001658,               0.001658
                     21,                 1.0195,                0.58636,                0.94629,                0.88864,                0.91975,                0.96027,                0.69114,                 1.0294,                0.58616,                0.96653,                0.00164,                0.00164,                0.00164
                     22,                 1.0288,                0.59707,                0.95736,                 0.8832,                0.92316,                0.96709,                0.69936,                0.98922,                0.61597,                0.94754,               0.001622,               0.001622,               0.001622
                     23,                 1.0112,                0.59982,                0.94722,                0.88216,                0.91249,                0.95646,                0.69031,                 1.0265,                0.59038,                0.95955,               0.001604,               0.001604,               0.001604
                     24,                0.99927,                0.57676,                 0.9489,                0.90559,                0.90075,                0.96317,                0.70676,                0.99288,                0.54928,                0.94762,               0.001586,               0.001586,               0.001586
                     25,                 1.0133,                0.57318,                0.94846,                0.89337,                0.91249,                 0.9649,                0.69492,                 1.0224,                0.59963,                0.95959,               0.001568,               0.001568,               0.001568
                     26,                0.99221,                0.57681,                0.94721,                0.88091,                0.93154,                0.96242,                0.71769,                0.97105,                0.53208,                0.94251,                0.00155,                0.00155,                0.00155
                     27,                 1.0052,                0.57033,                0.94792,                0.89695,                0.91038,                0.96569,                0.69748,                 1.0053,                0.54818,                0.95048,               0.001532,               0.001532,               0.001532
                     28,                0.99669,                0.56142,                0.94797,                   0.91,                0.91727,                0.96594,                0.71125,                0.98234,                 0.5509,                 0.9496,               0.001514,               0.001514,               0.001514
                     29,                0.99564,                0.56602,                0.94622,                 0.9105,                0.90119,                 0.9622,                0.71245,                0.98303,                0.54483,                0.94308,               0.001496,               0.001496,               0.001496
                     30,                0.99808,                0.56241,                0.94869,                0.91277,                0.90457,                0.96949,                0.71197,                0.98526,                 0.5407,                0.94471,               0.001478,               0.001478,               0.001478
                     31,                 0.9971,                 0.5496,                0.94318,                0.89643,                0.91447,                 0.9642,                0.70208,                 1.0178,                0.55176,                0.95439,                0.00146,                0.00146,                0.00146
                     32,                0.97382,                0.54328,                0.94131,                0.92618,                0.91052,                0.96935,                0.71917,                0.99156,                0.52436,                0.94471,               0.001442,               0.001442,               0.001442
                     33,                 0.9851,                0.55411,                0.93758,                0.89807,                 0.9381,                0.96654,                0.71181,                0.99396,                0.52061,                0.95112,               0.001424,               0.001424,               0.001424
                     34,                0.98071,                0.55093,                0.94508,                0.92643,                0.89114,                0.97131,                0.71745,                0.97118,                0.52882,                0.94477,               0.001406,               0.001406,               0.001406
                     35,                0.98754,                0.54622,                0.94764,                0.90942,                0.91081,                0.96604,                0.71856,                0.96659,                0.51415,                 0.9401,               0.001388,               0.001388,               0.001388
                     36,                 0.9775,                0.54449,                0.93497,                0.93261,                0.90502,                0.97033,                0.71377,                0.98587,                0.52277,                0.94855,                0.00137,                0.00137,                0.00137
                     37,                0.96972,                0.53353,                0.94059,                0.89887,                0.92958,                 0.9685,                0.71866,                0.96619,                0.52077,                0.94179,               0.001352,               0.001352,               0.001352
                     38,                0.96804,                0.54027,                0.93867,                0.90661,                0.90928,                0.96283,                0.70548,                 1.0082,                0.53109,                0.95517,               0.001334,               0.001334,               0.001334
                     39,                0.94833,                0.51643,                0.93707,                0.90428,                0.91744,                 0.9703,                0.71445,                 1.0127,                0.53298,                0.96033,               0.001316,               0.001316,               0.001316
                     40,                0.95673,                0.52337,                0.93066,                0.90956,                0.91234,                0.95808,                0.70663,                 1.0007,                0.55641,                0.95045,               0.001298,               0.001298,               0.001298
                     41,                0.95583,                0.53443,                0.93321,                0.89382,                0.92531,                0.96418,                0.71323,                  1.017,                0.53335,                0.96297,                0.00128,                0.00128,                0.00128
                     42,                0.95857,                0.53861,                0.93206,                0.89789,                0.93841,                0.96055,                0.71563,                 0.9738,                0.51965,                 0.9443,               0.001262,               0.001262,               0.001262
                     43,                 0.9583,                0.52311,                0.93311,                0.89293,                0.92565,                0.96158,                0.70807,                 1.0004,                0.57196,                 0.9609,               0.001244,               0.001244,               0.001244
                     44,                0.94913,                 0.5179,                0.92921,                0.87314,                 0.9285,                0.96397,                0.70732,                0.99804,                0.52919,                0.94544,               0.001226,               0.001226,               0.001226
                     45,                0.94388,                0.51522,                0.92449,                0.89351,                 0.9381,                0.96065,                0.71523,                0.96267,                0.51305,                0.93693,               0.001208,               0.001208,               0.001208
